date,source_product_name,external_category,mofcom_price,unit
2026-01-02,白条猪,pork,18.5,元/公斤
2026-01-09,白条猪,pork,18.67,元/公斤
2026-01-16,白条猪,pork,18.82,元/公斤
2026-01-23,白条猪,pork,19.09,元/公斤
2026-01-30,白条猪,pork,19.13,元/公斤
2026-02-06,白条猪,pork,18.88,元/公斤
2026-02-13,白条猪,pork,18.88,元/公斤
2026-02-20,白条猪,pork,18.98,元/公斤
2026-02-27,白条猪,pork,18.48,元/公斤
2026-03-06,白条猪,pork,17.94,元/公斤
2026-03-13,白条猪,pork,17.4,元/公斤
2026-03-20,白条猪,pork,17.25,元/公斤
2026-03-27,白条猪,pork,16.94,元/公斤
2026-04-03,白条猪,pork,16.52,元/公斤
2026-04-10,白条猪,pork,16.15,元/公斤
2026-04-17,白条猪,pork,15.92,元/公斤
2026-04-24,白条猪,pork,16.11,元/公斤
2026-01-02,粳米,rice,5.37,元/公斤
2026-01-09,粳米,rice,5.37,元/公斤
2026-01-16,粳米,rice,5.36,元/公斤
2026-01-23,粳米,rice,5.34,元/公斤
2026-01-30,粳米,rice,5.34,元/公斤
2026-02-06,粳米,rice,5.33,元/公斤
2026-02-13,粳米,rice,5.33,元/公斤
2026-02-20,粳米,rice,5.32,元/公斤
2026-02-27,粳米,rice,5.32,元/公斤
2026-03-06,粳米,rice,5.31,元/公斤
2026-03-13,粳米,rice,5.3,元/公斤
2026-03-20,粳米,rice,5.3,元/公斤
2026-03-27,粳米,rice,5.31,元/公斤
2026-04-03,粳米,rice,5.3,元/公斤
2026-04-10,粳米,rice,5.3,元/公斤
2026-04-17,粳米,rice,5.31,元/公斤
2026-04-24,粳米,rice,5.31,元/公斤
2026-01-02,蔬菜,vegetable,5.73,元/公斤
2026-01-09,蔬菜,vegetable,5.68,元/公斤
2026-01-16,蔬菜,vegetable,5.65,元/公斤
2026-01-23,蔬菜,vegetable,5.75,元/公斤
2026-01-30,蔬菜,vegetable,5.69,元/公斤
2026-02-06,蔬菜,vegetable,5.55,元/公斤
2026-02-13,蔬菜,vegetable,5.53,元/公斤
2026-02-20,蔬菜,vegetable,5.6,元/公斤
2026-02-27,蔬菜,vegetable,5.25,元/公斤
2026-03-06,蔬菜,vegetable,4.9,元/公斤
2026-03-13,蔬菜,vegetable,4.83,元/公斤
2026-03-20,蔬菜,vegetable,4.81,元/公斤
2026-03-27,蔬菜,vegetable,4.74,元/公斤
2026-04-03,蔬菜,vegetable,4.61,元/公斤
2026-04-10,蔬菜,vegetable,4.55,元/公斤
2026-04-17,蔬菜,vegetable,4.45,元/公斤
2026-04-24,蔬菜,vegetable,4.39,元/公斤
