product_id,product_name,temperature_zone,category_l1,category_l2,category_l3,external_category,match_method,match_confidence
GS000518203,【测】海带笋丝版-BW,常温,food,aquatic,fish,aquatic,keyword:fish,0.92
GS000524206,严选免浆黑鱼片17-BW,冷冻,food,aquatic,fish,aquatic,keyword:fish,0.92
GS000443710,免浆黑鱼片250g（比老款每箱优惠15元，操作方法一样）装-BW,冷冻,food,aquatic,fish,aquatic,keyword:fish,0.92
GS000117752,特选客户3-脆骨鱼饼2.5kg*4包-BW,冷冻,food,aquatic,fish,aquatic,keyword:fish,0.92
GS000344269,黑鱼片79-BW,冷冻,food,aquatic,fish,aquatic,keyword:fish,0.92
GS000513282,升级版客户3-麻辣爆辣撒粉-1kg/包（爆辣）（拆零）（新）级-BW,常温,food,condiment,condiment,condiment,keyword:condiment,0.92
GS000347851,升级版拌面酱-BW,常温,food,condiment,condiment,condiment,keyword:condiment,0.92
GS000344277,增香专用调味粉（1锅放18g）92-BW,常温,food,condiment,condiment,condiment,keyword:condiment,0.92
GS000034842,定制窖藏一号（剁椒）优-BW,常温,food,condiment,condiment,condiment,keyword:condiment,0.92
GS000287647,客户3-【整件独立粉包】川蜀香辣味撒粉4g*1000包/件(微辣)装-BW,常温,food,condiment,condiment,condiment,keyword:condiment,0.92
GS000287646,客户3-【整件独立粉包】新疆孜然味撒粉4g*1000包/件(浓香)鲜-BW,常温,food,condiment,condiment,condiment,keyword:condiment,0.92
GS000117715,客户3-专用湿浆粉5kg*4包/件级-BW,常温,food,condiment,condiment,condiment,keyword:condiment,0.92
GS000513292,客户3-专用湿浆粉5kg*4包/件（新）嫩-BW,常温,food,condiment,condiment,condiment,keyword:condiment,0.92
GS000287649,客户3-川蜀香辣味撒粉1kg/包（微辣）（拆零）73-BW,常温,food,condiment,condiment,condiment,keyword:condiment,0.92
GS000117750,客户3-甘梅味撒粉1kg（拆零）82-BW,常温,food,condiment,condiment,condiment,keyword:condiment,0.92
GS000117751,客户3-脆鳞裹粉5kg*4包/件14-BW,常温,food,condiment,condiment,condiment,keyword:condiment,0.92
GS000341483,客户3-蜜汁叉烧鸡肋条（带骨鸡背条）1kg*10包版-BW,冷冻,food,condiment,condiment,condiment,keyword:condiment,0.92
GS000513727,小辣妹卤料款-BW,常温,food,condiment,condiment,condiment,keyword:condiment,0.92
GS000461611,招牌【新】泡椒酱精选-BW,常温,food,condiment,condiment,condiment,keyword:condiment,0.92
GS000287648,招牌客户3-黄油芝士味撒粉1kg/包（咸甜）（拆零）型-BW,常温,food,condiment,condiment,condiment,keyword:condiment,0.92
GS000344275,改良蒜蓉辣椒酱-BW,冷冻,food,condiment,condiment,condiment,keyword:condiment,0.92
GS000344285,新锅仔底料1-BW,常温,food,condiment,condiment,condiment,keyword:condiment,0.92
GS000012825,杨梅汁饮料66-BW,常温,food,condiment,condiment,condiment,keyword:condiment,0.92
GS000344254,沂沟粉条嫩-BW,常温,food,condiment,condiment,condiment,keyword:condiment,0.92
GS000117390,湘味小炒汁66-BW,常温,food,condiment,condiment,condiment,keyword:condiment,0.92
GS000361519,特选焖鸡酱（新箱规）-BW,常温,food,condiment,condiment,condiment,keyword:condiment,0.92
GS000287650,甄选客户3-新疆孜然味撒粉1kg/包（浓香）（拆零）装-BW,常温,food,condiment,condiment,condiment,keyword:condiment,0.92
GS000344284,甄选日式咖喱汁装-BW,冷冻,food,condiment,condiment,condiment,keyword:condiment,0.92
GS000344317,甄选煲仔酱-BW,常温,food,condiment,condiment,condiment,keyword:condiment,0.92
GS000364854,精品石锅酱（新规格15kg）精选-BW,常温,food,condiment,condiment,condiment,keyword:condiment,0.92
GS000471015,精选客户3-麻辣爆辣撒粉-1kg/包（爆辣）（拆零）优选-BW,常温,food,condiment,condiment,condiment,keyword:condiment,0.92
GS000118312,精选风味香辣酱版-BW,常温,food,condiment,condiment,condiment,keyword:condiment,0.92
GS000344299,精选香麻调味粉-BW,常温,food,condiment,condiment,condiment,keyword:condiment,0.92
GS000012795,精选麻辣底料-BW,常温,food,condiment,condiment,condiment,keyword:condiment,0.92
GS000091181,糖醋汁嫩-BW,常温,food,condiment,condiment,condiment,keyword:condiment,0.92
GS000443981,老坛小米红剁椒2-BW,常温,food,condiment,condiment,condiment,keyword:condiment,0.92
