month,week_of_month,festival_sensitivity,calendar_days,open_days,holiday_days,adjusted_workdays,preholiday_days,postholiday_days,cny_days,qingming_days,systematic_exposure,systematic_week_share
2026-01,1,high,7,4,3,1,2,6,0,0,5.57,0.20014372978799855
2026-01,1,low,7,4,3,1,2,6,0,0,6.4,0.22614840989399293
2026-01,1,medium,7,4,3,1,2,6,0,0,5.75,0.20661157024793386
2026-01,2,high,7,7,0,0,0,3,0,0,6.76,0.24290334171757094
2026-01,2,low,7,7,0,0,0,3,0,0,6.4,0.22614840989399293
2026-01,2,medium,7,7,0,0,0,3,0,0,6.58,0.23643550125763563
2026-01,3,high,7,7,0,0,0,0,0,0,6.4,0.2299676607977003
2026-01,3,low,7,7,0,0,0,0,0,0,6.4,0.22614840989399293
2026-01,3,medium,7,7,0,0,0,0,0,0,6.4,0.2299676607977003
2026-01,4,high,7,7,0,0,0,0,0,0,6.4,0.2299676607977003
2026-01,4,low,7,7,0,0,0,0,0,0,6.4,0.22614840989399293
2026-01,4,medium,7,7,0,0,0,0,0,0,6.4,0.2299676607977003
2026-01,5,high,3,3,0,0,0,0,0,0,2.7,0.09701760689902983
2026-01,5,low,3,3,0,0,0,0,0,0,2.7,0.09540636042402827
2026-01,5,medium,3,3,0,0,0,0,0,0,2.7,0.09701760689902983
2026-02,1,high,7,7,0,0,0,0,0,0,6.4,0.2824360105913504
2026-02,1,low,7,7,0,0,0,0,0,0,6.4,0.25296442687747034
2026-02,1,medium,7,7,0,0,0,0,0,0,6.4,0.2755058114507103
2026-02,2,high,7,7,0,1,7,0,6,0,7.050000000000001,0.3111209179170344
2026-02,2,low,7,7,0,1,7,0,6,0,6.7,0.2648221343873518
2026-02,2,medium,7,7,0,1,7,0,6,0,6.84,0.29444683598794663
2026-02,3,high,7,0,7,0,7,6,7,0,2.82,0.12444836716681375
2026-02,3,low,7,0,7,0,7,6,7,0,5.6000000000000005,0.2213438735177866
2026-02,3,medium,7,0,7,0,7,6,7,0,3.6500000000000004,0.15712440809298323
2026-02,4,high,7,5,2,1,1,7,7,0,6.390000000000001,0.2819947043248014
2026-02,4,low,7,5,2,1,1,7,7,0,6.6,0.2608695652173913
2026-02,4,medium,7,5,2,1,1,7,7,0,6.34,0.27292294446835985
2026-03,1,high,7,7,0,0,0,2,0,0,6.64,0.2310368823938761
2026-03,1,low,7,7,0,0,0,2,0,0,6.4,0.22614840989399293
2026-03,1,medium,7,7,0,0,0,2,0,0,6.52,0.22877192982456138
2026-03,2,high,7,7,0,0,0,0,0,0,6.4,0.22268615170494085
2026-03,2,low,7,7,0,0,0,0,0,0,6.4,0.22614840989399293
2026-03,2,medium,7,7,0,0,0,0,0,0,6.4,0.22456140350877193
2026-03,3,high,7,7,0,0,0,0,0,0,6.4,0.22268615170494085
2026-03,3,low,7,7,0,0,0,0,0,0,6.4,0.22614840989399293
2026-03,3,medium,7,7,0,0,0,0,0,0,6.4,0.22456140350877193
2026-03,4,high,7,7,0,0,1,0,0,0,6.45,0.22442588726513568
2026-03,4,low,7,7,0,0,1,0,0,0,6.4,0.22614840989399293
2026-03,4,medium,7,7,0,0,1,0,0,0,6.42,0.22526315789473683
2026-03,5,high,3,3,0,0,3,0,0,0,2.85,0.09916492693110647
2026-03,5,low,3,3,0,0,3,0,0,0,2.7,0.09540636042402827
2026-03,5,medium,3,3,0,0,3,0,0,0,2.76,0.09684210526315788
